Title,Company,Ratings,Experience,Salary,Location,Job_Post_History,Skills,Description
Data Scientist-Python with SQL- Offline,AgreeYa,3.4,3-7 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",12 Days Ago,"['Python', 'PySpark', 'OOP', 'data analysis', 'written communication', 'unit testing', 'SQL', 'object - oriented programming']", Bachelors degree in a related field year of industry experience Experience working in A...
Data Engineer / Data Analyst / Data Scientist - Pune (Early Joiners),OCN FOUR VENTURES LLP  ,3.4,3-8 Yrs,"10,00,000 - 20,00,000 PA.",Pune,7 Days Ago,"['Power Bi', 'Tableau', 'GCP', 'Azure', 'data mining', 'AWS cloud', 'SQL database', 'Relational DB']", GCP / Azure/AWS cloud hands-on expertise preferred experience with SQL database design ...
Data Scientist / Machine Learning Engineer,PubMatic,4.2,3-7 Yrs,Not disclosed,New Delhi,3 Days Ago,['Machine learning'], 2+ years of hands-on experience with design + implementation of Machine Learning models...
Data Scientist - Deep Learning Solutions,Huquo Consulting Pvt. Ltd,4.2,1-6 Yrs,Not disclosed,"Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",8 Days Ago,"['NLP', 'Deep Learning', 'TensorFlow', 'Data Science', 'Data Pipeline', 'Data Scientist', 'Machine Learning', 'Python']"," MS in Computer Science, Electronics, Data Science, Mathematics, or other related discip..."
Data Scientist,Adept Consulting,4.2,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,14 Days Ago,"['Scala', 'Spark', 'Python', 'Jenkins', 'visualization', 'Tableau', 'Linux', 'RapidMiner']"," Responsible for end-to-end delivery of model starting with requirement analysis, dataRo..."
Data Scientist - SQL/Python/Machine Learning Algorithms,TalentStack,4.2,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,8 Days Ago,"['IT Skills', 'Java', 'Python', 'Data Science', 'Machine Learning', 'Predictive Modeling', 'R', 'Data Scientist']", Must have problem solving attitude Key Skills Required : - 1-3 years of business experi...
Lead Data Scientist - Deep Learning/Machine Learning,Confidential,4.2,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,8 Days Ago,"['Linear Regression', 'PyTorch', 'Theano', 'Cluster analysis', 'management', 'verbal', 'Python', 'Open CV']", Job Description :1. Background in Computer ScienceComputer Applications or any quantita...
Principal Data Scientist - Spark/Hadoop/Tensorflow,Yo HR Consultancy,4.2,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,15 Days Ago,"['Tensorflow', 'Hadoop', 'Spark', 'Julia', 'Machine Learning', 'analytical', 'R', 'signal processing']", Must-Have :- Machine Learning experience- Deep Learning experienceRequirement :1. Pharm...
Principal Data Scientist - Machine Learning,Yo HR Consultancy,4.2,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,15 Days Ago,"['Spark', 'Machine Learning', 'TensorFlow', 'Python', 'communication', 'analytical', 'Hadoop', 'Keras']", Experience: 4 - 10 yearsMUST-HAVES:- Must have in projects: Machine Learning experience...
Principal Data Scientist - Big Data,Axcess Consultancy Services,4.2,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,8 Days Ago,"['Big Data', 'Time series data', 'TensorFlow', 'IT Skills', 'Python', 'Machine Learning', 'R', 'Data Scientist']", Skills & experience needed to qualify : - Strong fundamentals in statistics and machine...
Data Scientist - Predictive Analytics,TalentStack,4.2,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,8 Days Ago,"['Machine Learning', 'noSQL', 'analytical', 'R', 'data mining', 'communication', 'analytics', 'SQL']", Must have problem solving attitude Key Skills Required : - 1-3 years of business experi...
Data Scientist - Predictive Analytics,TalentStack,4.2,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,15 Days Ago,"['analytics', 'data mining', 'Predictive Analytics', 'IT Skills', 'Java', 'Python', 'Data Science', 'Machine Learning']", Must have problem solving attitude Key Skills Required : - 1-3 years of business experi...
Data Scientist - Machine Learning,Catalyst,4.2,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,8 Days Ago,"['Data Science', 'Data Quality', 'Data Scientist', 'Statistical Modeling', 'Statistical Analyst', 'Machine Learning']", - Implement data-driven solutions based on advanced ML and optimization algorithms to a...
Data Scientist - SAS/SQL/SPSS,Talpro,4.2,8-12 Yrs,Not disclosed,"Delhi / NCR, Bangalore/Bengaluru",8 Days Ago,"['IT Skills', 'Java', 'Testing', 'Product Management', 'database analysis', 'R', 'SAS', 'Data Management']", Bachelors Degree with quantitative background (Engineering Maths Statistics Computer Sc...
Principal Data Scientist - Machine Learning,Prime Infosoft,4.2,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,13 Days Ago,"['Spark', 'Machine Learning', 'Statistics', 'Python', 'communication', 'analytical', 'Hadoop', 'Julia']", Skills & experience needed to qualify : - Strong fundamentals in statistics and machine...
Data Scientist (freelance),2Coms,4.2,3-8 Yrs,"4,75,000 - 9,75,000 PA.","Mumbai, Mumbai",4 Days Ago,"['IT Skills', 'Java', 'Python', 'Machine Learning', 'Javascript', 'Data Scientist']"," Experience using web services: Redshift, S3, Spark, DigitalOcean, etcExperience creatin..."
Data Scientist (freelance),2Coms,4.2,3-8 Yrs,"4,75,000 - 9,75,000 PA.","Hyderabad/Secunderabad, Hyderabad",6 Days Ago,"['IT Skills', 'Java', 'Python', 'Machine Learning', 'Javascript', 'Data Scientist']"," Experience using web services: Redshift, S3, Spark, DigitalOcean, etcExperience creatin..."
Clinical Data Management Scientist,Accenture,4.1,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,14 Days Ago,"['IT Skills', 'Cloud', 'Database design', 'Pharmacy', 'Project initiation', 'Consulting', 'Clinical trials', 'Clinical research']", Qualifications: Bachelor of Pharmacy / Master of Pharmacy / P G Diploma In Clinical Res...
